time_step,subject_id,activity_id,activity_name,total_acc_x
0,1,5,STANDING,1.012817
1,1,5,STANDING,1.022833
2,1,5,STANDING,1.022028
3,1,5,STANDING,1.017877
4,1,5,STANDING,1.02368
5,1,5,STANDING,1.016974
6,1,5,STANDING,1.017746
7,1,5,STANDING,1.019263
8,1,5,STANDING,1.016417
9,1,5,STANDING,1.020745
10,1,5,STANDING,1.018643
11,1,5,STANDING,1.019521
12,1,5,STANDING,1.02026
13,1,5,STANDING,1.018041
14,1,5,STANDING,1.020829
15,1,5,STANDING,1.018644
16,1,5,STANDING,1.019398
17,1,5,STANDING,1.020399
18,1,5,STANDING,1.019222
19,1,5,STANDING,1.022093
20,1,5,STANDING,1.020433
21,1,5,STANDING,1.020534
22,1,5,STANDING,1.021503
23,1,5,STANDING,1.019931
24,1,5,STANDING,1.02048
25,1,5,STANDING,1.018945
26,1,5,STANDING,1.019238
27,1,5,STANDING,1.019989
28,1,5,STANDING,1.018917
29,1,5,STANDING,1.019762
30,1,5,STANDING,1.019021
31,1,5,STANDING,1.017887
32,1,5,STANDING,1.018136
33,1,5,STANDING,1.019543
34,1,5,STANDING,1.020242
35,1,5,STANDING,1.018757
36,1,5,STANDING,1.019534
37,1,5,STANDING,1.019862
38,1,5,STANDING,1.01906
39,1,5,STANDING,1.020717
40,1,5,STANDING,1.021055
41,1,5,STANDING,1.020178
42,1,5,STANDING,1.018108
43,1,5,STANDING,1.014776
44,1,5,STANDING,1.015374
45,1,5,STANDING,1.018429
46,1,5,STANDING,1.019895
47,1,5,STANDING,1.018647
48,1,5,STANDING,1.016387
49,1,5,STANDING,1.017053
50,1,5,STANDING,1.019572
51,1,5,STANDING,1.021097
52,1,5,STANDING,1.019488
53,1,5,STANDING,1.017218
54,1,5,STANDING,1.019876
55,1,5,STANDING,1.022022
56,1,5,STANDING,1.020574
57,1,5,STANDING,1.021588
58,1,5,STANDING,1.022298
59,1,5,STANDING,1.019369
60,1,5,STANDING,1.01698
61,1,5,STANDING,1.016774
62,1,5,STANDING,1.016079
63,1,5,STANDING,1.015292
64,1,5,STANDING,1.018851
65,1,5,STANDING,1.02238
66,1,5,STANDING,1.020781
67,1,5,STANDING,1.020218
68,1,5,STANDING,1.021344
69,1,5,STANDING,1.020522
70,1,5,STANDING,1.01979
71,1,5,STANDING,1.019216
72,1,5,STANDING,1.018307
73,1,5,STANDING,1.017996
74,1,5,STANDING,1.017932
75,1,5,STANDING,1.018121
76,1,5,STANDING,1.018305
77,1,5,STANDING,1.018458
78,1,5,STANDING,1.018201
79,1,5,STANDING,1.017129
80,1,5,STANDING,1.017814
81,1,5,STANDING,1.0188
82,1,5,STANDING,1.017601
83,1,5,STANDING,1.01797
84,1,5,STANDING,1.018489
85,1,5,STANDING,1.017787
86,1,5,STANDING,1.019167
87,1,5,STANDING,1.019789
88,1,5,STANDING,1.019462
89,1,5,STANDING,1.020433
90,1,5,STANDING,1.021189
91,1,5,STANDING,1.021903
92,1,5,STANDING,1.021936
93,1,5,STANDING,1.02055
94,1,5,STANDING,1.018878
95,1,5,STANDING,1.018548
96,1,5,STANDING,1.017389
97,1,5,STANDING,1.015021
98,1,5,STANDING,1.01931
99,1,5,STANDING,1.024606
100,1,5,STANDING,1.021863
101,1,5,STANDING,1.020201
102,1,5,STANDING,1.020573
103,1,5,STANDING,1.018729
104,1,5,STANDING,1.01936
105,1,5,STANDING,1.019954
106,1,5,STANDING,1.018969
107,1,5,STANDING,1.019633
108,1,5,STANDING,1.019553
109,1,5,STANDING,1.019179
110,1,5,STANDING,1.019695
111,1,5,STANDING,1.019145
112,1,5,STANDING,1.018516
113,1,5,STANDING,1.017926
114,1,5,STANDING,1.01778
115,1,5,STANDING,1.018917
116,1,5,STANDING,1.020606
117,1,5,STANDING,1.022583
118,1,5,STANDING,1.020981
119,1,5,STANDING,1.018065
120,1,5,STANDING,1.019638
121,1,5,STANDING,1.020017
122,1,5,STANDING,1.018766
123,1,5,STANDING,1.019815
124,1,5,STANDING,1.01929
125,1,5,STANDING,1.018445
126,1,5,STANDING,1.019372
127,1,5,STANDING,1.021171
128,1,5,STANDING,1.023127
129,1,5,STANDING,1.021882
130,1,5,STANDING,1.019178
131,1,5,STANDING,1.015861
132,1,5,STANDING,1.012893
133,1,5,STANDING,1.016451
134,1,5,STANDING,1.020331
135,1,5,STANDING,1.020266
136,1,5,STANDING,1.021759
137,1,5,STANDING,1.018649
138,1,5,STANDING,1.013117
139,1,5,STANDING,1.016167
140,1,5,STANDING,1.018977
141,1,5,STANDING,1.016653
142,1,5,STANDING,1.017782
143,1,5,STANDING,1.020528
144,1,5,STANDING,1.021877
145,1,5,STANDING,1.022096
146,1,5,STANDING,1.020731
147,1,5,STANDING,1.020761
148,1,5,STANDING,1.020405
149,1,5,STANDING,1.020213
